Proceso,Expediente Tipo,Expediente Número,Magistrado(a) ponente,Sala,Sentencia Tipo,Sentencia,Fecha Sentencia,SV-SPV,AV-APV
Demanda de inconstitucionalidad,D,338,Fabio Morón Díaz,Sala Plena,C,C-592/93,12/09/1993 12:00:00 AM,s.d.,s.d.
Tutela,T,20431,Fabio Morón Díaz,Salas de Revisión,T,T-570/93,12/09/1993 12:00:00 AM,s.d.,s.d.
Tutela,T,20731,Fabio Morón Díaz,Salas de Revisión,T,T-571/93,12/09/1993 12:00:00 AM,s.d.,s.d.
Tutela,T,20734,Fabio Morón Díaz,Salas de Revisión,T,T-572/93,12/09/1993 12:00:00 AM,s.d.,s.d.
Tutela,T,17106,Fabio Morón Díaz,Salas de Revisión,T,T-573/93,12/09/1993 12:00:00 AM,s.d.,s.d.
Tutela,T,10503,Eduardo Cifuentes Muñoz,Salas de Revisión,T,T-574/93,12/10/1993 12:00:00 AM,s.d.,s.d.
Tutela,T,19518,Eduardo Cifuentes Muñoz,Salas de Revisión,T,T-575/93,12/10/1993 12:00:00 AM,s.d.,s.d.
Tutela,T,17246,Jorge Arango Mejía,Salas de Revisión,T,T-576/93,12/10/1993 12:00:00 AM,s.d.,s.d.
Tutela,T,19915,José Gregorio Hernández Galindo,Salas de Revisión,T,T-577/93,12/10/1993 12:00:00 AM,s.d.,s.d.
Tutela,T,20629,Alejandro Martínez Caballero,Salas de Revisión,T,T-578/93,12/13/1993 12:00:00 AM,s.d.,s.d.
Demanda de inconstitucionalidad,D,328,Eduardo Cifuentes Muñoz,Sala Plena,C,C-591/93,12/14/1993 12:00:00 AM,s.d.,s.d.
Demanda de inconstitucionalidad,D,342,Carlos Gaviria Díaz,Sala Plena,C,C-593/93,12/14/1993 12:00:00 AM,s.d.,s.d.
Tutela,T,20793,Antonio Barrera Carbonell,Salas de Revisión,T,T-579/93,12/14/1993 12:00:00 AM,s.d.,s.d.
Tutela,T,19670,Hernando Herrera Vergara,Salas de Revisión,T,T-580/93,12/14/1993 12:00:00 AM,s.d.,s.d.
Tutela,T,19971,Hernando Herrera Vergara,Salas de Revisión,T,T-581/93,12/14/1993 12:00:00 AM,s.d.,s.d.
Tutela,T,20109,Hernando Herrera Vergara,Salas de Revisión,T,T-582/93,12/14/1993 12:00:00 AM,s.d.,s.d.
Tutela,T,20146,Hernando Herrera Vergara,Salas de Revisión,T,T-583/93,12/14/1993 12:00:00 AM,s.d.,s.d.
Tutela,T,20432,Hernando Herrera Vergara,Salas de Revisión,T,T-584/93,12/14/1993 12:00:00 AM,s.d.,s.d.
Tutela,T,20498,Hernando Herrera Vergara,Salas de Revisión,T,T-585/93,12/14/1993 12:00:00 AM,s.d.,s.d.
Tutela,T,20509,Hernando Herrera Vergara,Salas de Revisión,T,T-586/93,12/14/1993 12:00:00 AM,s.d.,s.d.
Tutela,T,20592,Hernando Herrera Vergara,Salas de Revisión,T,T-587/93,12/14/1993 12:00:00 AM,s.d.,s.d.
Tutela,T,20862,Hernando Herrera Vergara,Salas de Revisión,T,T-588/93,12/14/1993 12:00:00 AM,s.d.,s.d.
Tutela,T,21511,Hernando Herrera Vergara,Salas de Revisión,T,T-589/93,12/14/1993 12:00:00 AM,s.d.,s.d.
Tutela,T,21636,Hernando Herrera Vergara,Salas de Revisión,T,T-590/93,12/14/1993 12:00:00 AM,s.d.,s.d.
Tutela,T,22442,Vladimiro Naranjo Mesa,Salas de Revisión,T,T-594/93,12/15/1993 12:00:00 AM,s.d.,s.d.
Tutela,T,22545,Eduardo Cifuentes Muñoz,Salas de Revisión,T,T-595/93,12/15/1993 12:00:00 AM,s.d.,s.d.
Tutela,T,16626,Eduardo Cifuentes Muñoz,Salas de Revisión,T,T-596/93,12/15/1993 12:00:00 AM,s.d.,s.d.
Tutela,T,21469,Eduardo Cifuentes Muñoz,Salas de Revisión,T,T-597/93,12/15/1993 12:00:00 AM,s.d.,s.d.
Tutela,T,20213,Eduardo Cifuentes Muñoz,Salas de Revisión,T,T-598/93,12/15/1993 12:00:00 AM,s.d.,s.d.
Tutela,T,21908,José Gregorio Hernández Galindo,Salas de Revisión,T,T-001/94,01/13/1994 12:00:00 AM,s.d.,s.d.
Tutela,T,22312,José Gregorio Hernández Galindo,Salas de Revisión,T,T-002/94,01/13/1994 12:00:00 AM,s.d.,s.d.
Tutela,T,14607,Jorge Arango Mejía,Salas de Revisión,T,T-003/94,01/17/1994 12:00:00 AM,s.d.,s.d.
Tutela,T,16211,Jorge Arango Mejía,Salas de Revisión,T,T-004/94,01/17/1994 12:00:00 AM,s.d.,s.d.
Tutela,T,19601,Jorge Arango Mejía,Salas de Revisión,T,T-005/94,01/17/1994 12:00:00 AM,s.d.,s.d.
Tutela,T,20850,Vladimiro Naranjo Mesa,Salas de Revisión,T,T-006/94,01/17/1994 12:00:00 AM,s.d.,s.d.
Tutela,T,21473,Alejandro Martínez Caballero,Salas de Revisión,T,T-007/94,01/19/1994 12:00:00 AM,s.d.,s.d.
Demanda de inconstitucionalidad,D,354,José Gregorio Hernández Galindo,Sala Plena,C,C-008/94,01/20/1994 12:00:00 AM,s.d.,s.d.
Demanda de inconstitucionalidad,D,347,Antonio Barrera Carbonell,Sala Plena,C,C-009/94,01/20/1994 12:00:00 AM,s.d.,s.d.
Demanda de inconstitucionalidad,D,352,Fabio Morón Díaz,Sala Plena,C,C-010/94,01/20/1994 12:00:00 AM,s.d.,s.d.
Proyecto de Ley Estatutaria,PE,1,Alejandro Martínez Caballero,Sala Plena,C,C-011/94,01/21/1994 12:00:00 AM,s.d.,s.d.
Demanda de inconstitucionalidad,D,321,Antonio Barrera Carbonell,Sala Plena,C,C-012/94,01/21/1994 12:00:00 AM,s.d.,s.d.
Demanda de inconstitucionalidad,D,345,Vladimiro Naranjo Mesa,Sala Plena,C,C-013/94,01/21/1994 12:00:00 AM,s.d.,s.d.
Tutela,T,21494,José Gregorio Hernández Galindo,Salas de Revisión,T,T-014/94,01/25/1994 12:00:00 AM,s.d.,s.d.
Tutela,T,21434,Alejandro Martínez Caballero,Salas de Revisión,T,T-015/94,01/25/1994 12:00:00 AM,s.d.,s.d.
Tutela,T,21589,Hernando Herrera Vergara,Salas de Revisión,T,T-016/94,01/26/1994 12:00:00 AM,s.d.,s.d.
Tutela,T,22486,Hernando Herrera Vergara,Salas de Revisión,T,T-017/94,01/26/1994 12:00:00 AM,s.d.,s.d.
Tutela,T,22522,Hernando Herrera Vergara,Salas de Revisión,T,T-018/94,01/26/1994 12:00:00 AM,s.d.,s.d.
Tutela,T,22905,Hernando Herrera Vergara,Salas de Revisión,T,T-019/94,01/26/1994 12:00:00 AM,s.d.,s.d.
Demanda de inconstitucionalidad,D,351,Eduardo Cifuentes Muñoz,Sala Plena,C,C-020/94,01/27/1994 12:00:00 AM,s.d.,s.d.
Demanda de inconstitucionalidad,D,270,Antonio Barrera Carbonell,Sala Plena,C,C-021/94,01/27/1994 12:00:00 AM,s.d.,s.d.
Demanda de inconstitucionalidad,D,302,Eduardo Cifuentes Muñoz,Sala Plena,C,C-022/94,01/27/1994 12:00:00 AM,s.d.,s.d.
Demanda de inconstitucionalidad,D,353,Vladimiro Naranjo Mesa,Sala Plena,C,C-023/94,01/27/1994 12:00:00 AM,s.d.,s.d.
Demanda de inconstitucionalidad,D,350,Alejandro Martínez Caballero,Sala Plena,C,C-024/94,01/27/1994 12:00:00 AM,s.d.,s.d.
Tutela,T,9430,Jorge Arango Mejía,Salas de Revisión,T,T-025/94,01/28/1994 12:00:00 AM,s.d.,s.d.
Tutela,T,22722,Hernando Herrera Vergara,Salas de Revisión,T,T-026/94,01/28/1994 12:00:00 AM,s.d.,s.d.
Tutela,T,22903,Hernando Herrera Vergara,Salas de Revisión,T,T-027/94,01/28/1994 12:00:00 AM,s.d.,s.d.
Tutela,T,21811,Vladimiro Naranjo Mesa,Salas de Revisión,T,T-029/94,01/28/1994 12:00:00 AM,s.d.,s.d.
Tutela,T,19746,Vladimiro Naranjo Mesa,Salas de Revisión,T,T-028/94,01/31/1994 12:00:00 AM,s.d.,s.d.
Tutela,T,22503,Alejandro Martínez Caballero,Salas de Revisión,T,T-030/94,02/02/1994 12:00:00 AM,s.d.,s.d.
Tutela,T,22393,Alejandro Martínez Caballero,Salas de Revisión,T,T-031/94,02/02/1994 12:00:00 AM,s.d.,s.d.
Tutela,T,15478,Alejandro Martínez Caballero,Salas de Revisión,T,T-032/94,02/02/1994 12:00:00 AM,s.d.,s.d.
